State,2010 POP,2011 POP,2012 POP,2013 POP,2014 POP,2015 POP,2016 POP,2017 POP,Region
South Dakota,1867.167171935903,1883.5985275010828,1905.65656128194,1929.5708098744046,1946.8427890861844,1958.4231268947601,1976.0909484625374,1996.1325249025551,MW
Tennessee,26029.082073434125,26209.473002159822,26460.32721382289,26643.45464362851,26861.893088552915,27089.09719222462,27337.974082073437,27601.69654427646,SE
Texas,30318.203727506432,30801.6455655527,31323.31041131105,31803.03759640103,32367.68348329049,32963.849293059124,33498.3865681234,33973.917737789205,SW
Utah,19468.54398563734,19751.642728904848,20025.727109515257,20349.1723518851,20623.21364452424,20949.80251346499,21372.482944344705,21780.558348294435,W
Vermont,6604.603211009175,6607.447247706422,6602.8784403669715,6607.834862385321,6602.674311926607,6589.11009174312,6577.229357798165,6580.587155963302,NE
Virginia,37748.882005899715,38112.734513274336,38485.269911504416,38813.976401179934,39057.40412979351,39276.69911504425,39485.830383480825,39722.24631268437,MW
Washington,37895.96918335901,38340.17103235747,38753.741140215716,39169.63482280431,39646.20030816641,40247.61787365177,40969.9907550077,41669.62403697997,W
West Virginia,10641.504288164666,10643.157804459692,10645.216123499142,10626.771869639793,10597.056603773584,10549.924528301886,10483.754716981131,10407.521440823328,SE
Wisconsin,7764.181315921647,7785.314163736815,7807.313159216475,7828.5547463586145,7848.9261677548975,7860.454545454545,7877.848568558515,7907.425414364641,MW
Wyoming,8455.573170731708,8506.670731707318,8643.650406504064,8732.30081300813,8747.272357723577,8788.792682926829,8768.491869918698,8681.41056910569,W
